"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
,,,,,10,Ritesh Kumar Singh,Th,23,
,,,,,,Keerthi C J,,,
,,,,,11,Sree Rama Amrutha Lahari,W,67,
,,,,,,TO BE ANNOUNCED,,,
,,,,,12,Mrunali Dnyaneshwar Wagh,T,67,
,,,,,,TO BE ANNOUNCED,,,
,,,,,13,Kurakula Anudeep,T,67,
,,,,,,Pn Sidhartha,,,
,,,,,14,Ramya K,Th,67,
,,,,,,Ch Suresh Kumar,,,
,,,,,15,Manish Laxminarayan Bhaiy,S,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,16,Kurakula Anudeep,Th,67,
,,,,,,TO BE ANNOUNCED,,,
,Tutorial,,,,1,Subhradeep Pal,T,8,
,,,,,2,Subhradeep Pal,Th,8,
,,,,,3,Runa Kumari,T,8,
,,,,,4,Runa Kumari,Th,8,
,,,,,5,Gopal Krishna Kamath M,T,8,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,6,Gopal Krishna Kamath M,Th,8,
,,,,,7,Sourav Nandi,T,8,
,,,,,8,Sourav Nandi,Th,8,
,,,,,9,Atri Mukhopadhyay,T,8,
,,,,,10,Atri Mukhopadhyay,Th,8,
CS F266,STUDY PROJECT,-,-,3,1,JABEZ J CHRISTOPHER,,,
CS F303,COMPUTER NETWORKS,3,1,4,1,PRAGATI SHRIVASTAVA,M W F,8,
,Practical,,,,1,Pragati Shrivastava,T,89,
,,,,,,Mandan Naresh,,,Unnamed: 9
,,,,,2,DipanJan Chakraborty,M,45,
,,,,,,Mandan Naresh,,,
,,,,,3,Rajib Ranjan Maiti,W,45,
,,,,,,Afrin Alam,,,
,,,,,4,DipanJan Chakraborty,F,45,
,,,,,,Afrin Alam,,,
,Tutorial,,,,1,Pragati Shrivastava,M,1,
,,,,,,Priyanka Rushikesh Chaudh,,,
,,,,,2,Pragati Shrivastava,W,1,
,,,,,,Priyanka Rushikesh Chaudh,,,
,,,,,3,Rajib Ranjan Maiti,T,7,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,4,DipanJan Chakraborty,Th,7,
CS F315,"INFORMATION AND
COMMUNICATION TECH. AND DEV.",3,-,3,1,DIPANJAN CHAKRABORTY,M W F,2,
CS F317,REINFORCEMENT LEARNING,3,-,3,1,PARESH SAXENA,M W F,7,
,,,,,,S Shashank,,,
CS F342,COMPUTER ARCHITECTURE,3,1,4,1,S GURUNARAYANAN,M W F,3,
,Practical,,,,1,Sharvani Gadgil,M,45,
,,,,,,Jisy N K,,,
